video_id,env,band,file_path,fps,duration,frame_count,resolution,swing_start_frame,swing_end_frame,split
Backside-8767-14_no00,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-14_no00.mp4,30.0,10.833,325,720x1280,218,318,val
Backside-8767-14_no01,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-14_no01.mp4,30.0,10.833,325,720x1280,218,318,train
Backside-8767-14_no02,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-14_no02.mp4,30.0,10.833,325,720x1280,196,296,test
Backside-8767-14_no03,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-14_no03.mp4,30.0,10.833,325,720x1280,219,319,test
Backside-8767-16_no00,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-16_no00.mp4,30.0,10.367,311,720x1280,151,251,val
Backside-8767-16_no01,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-16_no01.mp4,30.0,10.367,311,720x1280,149,249,train
Backside-8767-16_no02,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-16_no02.mp4,30.0,10.367,311,720x1280,139,239,test
Backside-8767-16_no03,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-16_no03.mp4,30.0,10.367,311,720x1280,139,239,train
Backside-8767-17_no00,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-17_no00.mp4,30.0,10.2,306,720x1280,192,292,test
Backside-8767-17_no01,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-17_no01.mp4,30.0,10.2,306,720x1280,149,249,train
Backside-8767-17_no02,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-17_no02.mp4,30.0,10.2,306,720x1280,166,266,train
Backside-8767-17_no03,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Backside-8767-17_no03.mp4,30.0,10.2,306,720x1280,0,24,val
Side-6020-15_no00,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-15_no00.mp4,30.0,8.0,240,720x1280,75,175,train
Side-6020-15_no01,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-15_no01.mp4,30.0,8.0,240,720x1280,51,116,train
Side-6020-15_no02,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-15_no02.mp4,30.0,8.0,240,720x1280,79,179,train
Side-6020-15_no03,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-15_no03.mp4,30.0,8.0,240,720x1280,50,118,train
Side-6020-7_no00,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-7_no00.mp4,30.0,11.4,342,720x1280,208,287,train
Side-6020-7_no01,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-7_no01.mp4,30.0,11.4,342,720x1280,228,328,val
Side-6020-7_no02,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-7_no02.mp4,30.0,11.4,342,720x1280,234,288,train
Side-6020-7_no03,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-7_no03.mp4,30.0,11.4,342,720x1280,234,288,test
Side-6020-9_no00,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-9_no00.mp4,30.0,8.033,241,720x1280,98,161,train
Side-6020-9_no01,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-9_no01.mp4,30.0,8.033,241,720x1280,145,241,train
Side-6020-9_no02,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-9_no02.mp4,30.0,8.033,241,720x1280,100,172,val
Side-6020-9_no03,indoor,1_2,Public Test\Trong nhà - Indoor\Band 1-2\Side-6020-9_no03.mp4,30.0,8.033,241,720x1280,122,222,test
Backside-8767-2_no00,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-2_no00.mp4,30.0,9.333,280,720x1280,140,240,train
Backside-8767-2_no01,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-2_no01.mp4,30.0,9.333,280,720x1280,152,252,train
Backside-8767-2_no02,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-2_no02.mp4,30.0,9.333,280,720x1280,152,252,train
Backside-8767-2_no03,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-2_no03.mp4,30.0,9.333,280,720x1280,119,219,test
Backside-8767-3_no00,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-3_no00.mp4,30.0,8.567,257,720x1280,159,257,train
Backside-8767-3_no01,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-3_no01.mp4,30.0,8.567,257,720x1280,138,190,train
Backside-8767-3_no02,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-3_no02.mp4,30.0,8.567,257,720x1280,138,238,train
Backside-8767-3_no03,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Backside-8767-3_no03.mp4,30.0,8.567,257,720x1280,162,257,val
Side-6020-2_no00,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-2_no00.mp4,30.0,9.433,283,720x1280,135,209,train
Side-6020-2_no01,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-2_no01.mp4,30.0,9.433,283,720x1280,138,210,test
Side-6020-2_no02,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-2_no02.mp4,30.0,9.433,283,720x1280,30,130,train
Side-6020-2_no03,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-2_no03.mp4,30.0,9.433,283,720x1280,137,208,train
Side-6020-3_no00,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-3_no00.mp4,30.0,8.2,246,720x1280,137,209,train
Side-6020-3_no01,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-3_no01.mp4,30.0,8.2,246,720x1280,136,187,train
Side-6020-3_no02,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-3_no02.mp4,30.0,8.2,246,720x1280,13,113,train
Side-6020-3_no03,indoor,2_4,Public Test\Trong nhà - Indoor\Band 2-4\Side-6020-3_no03.mp4,30.0,8.2,246,720x1280,137,237,train
Backside-8767-4_no00,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-4_no00.mp4,30.0,9.6,288,720x1280,174,274,val
Backside-8767-4_no01,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-4_no01.mp4,30.0,9.6,288,720x1280,192,288,train
Backside-8767-4_no02,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-4_no02.mp4,30.0,9.6,288,720x1280,176,276,train
Backside-8767-4_no03,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-4_no03.mp4,30.0,9.6,288,720x1280,187,287,train
Backside-8767-5_no00,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-5_no00.mp4,30.0,9.7,291,720x1280,169,269,train
Backside-8767-5_no01,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-5_no01.mp4,30.0,9.7,291,720x1280,191,291,train
Backside-8767-5_no02,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-5_no02.mp4,30.0,9.7,291,720x1280,0,24,train
Backside-8767-5_no03,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-5_no03.mp4,30.0,9.7,291,720x1280,182,282,train
Backside-8767-6_no00,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-6_no00.mp4,30.0,10.967,329,720x1280,236,329,train
Backside-8767-6_no01,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-6_no01.mp4,30.0,10.967,329,720x1280,234,309,val
Backside-8767-6_no02,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-6_no02.mp4,30.0,10.967,329,720x1280,258,329,test
Backside-8767-6_no03,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Backside-8767-6_no03.mp4,30.0,10.967,329,720x1280,233,329,train
Side-6016-18_no00,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6016-18_no00.mp4,30.0,6.633,199,720x1280,151,199,test
Side-6016-18_no01,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6016-18_no01.mp4,30.0,6.633,199,720x1280,184,199,train
Side-6016-18_no02,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6016-18_no02.mp4,30.0,6.633,199,720x1280,170,199,train
Side-6016-18_no03,indoor,4_6,Public Test\Trong nhà - Indoor\Band 4-6\Side-6016-18_no03.mp4,30.0,6.633,199,720x1280,143,199,train
